Song,Artist
Song,Artist
Dave, Hangman, 
The Strokes, Heart In a Cage, 
Arctic Monkeys, Do I Wanna Know?, 
Daft Punk, Instant Crush, 
Red Hot Chili Peppers, Snow (Hey Oh), 
The Strokes, What Ever Happened?, 
Red Hot Chili Peppers, Californication, 
Red Hot Chili Peppers, Otherside, 
Red Hot Chili Peppers, By the Way, 
Red Hot Chili Peppers, Scar Tissue, 
Red Hot Chili Peppers, Tell Me Baby, 
Red Hot Chili Peppers, Wet Sand, 
Red Hot Chili Peppers, Around The World, 
Red Hot Chili Peppers, Fortune Faded, 
Red Hot Chili Peppers, The Longest Wave, 
Weezer, Island In The Sun, 
Red Hot Chili Peppers, Hard to Concentrate, 
Red Hot Chili Peppers, Desecration Smile, 
Red Hot Chili Peppers, Meet Me at the Corner, 
Red Hot Chili Peppers, Did I Let You Know, 
Red Hot Chili Peppers, The Getaway, 
Red Hot Chili Peppers, Goodbye Angels, 
Red Hot Chili Peppers, Sick Love, 
Red Hot Chili Peppers, Encore, 
Red Hot Chili Peppers, Million Miles of Water, 
Red Hot Chili Peppers, Quixoticelixer (Bonus Track), 
Red Hot Chili Peppers, Venice Queen, 
Red Hot Chili Peppers, Cabron, 
Red Hot Chili Peppers, Universally Speaking, 
Red Hot Chili Peppers, Parallel Universe, 
Red Hot Chili Peppers, She Looks to Me, 
Red Hot Chili Peppers, Warm Tape, 
Red Hot Chili Peppers, She's Only 18, 
Red Hot Chili Peppers, Hey, 
Red Hot Chili Peppers, This Velvet Glove, 
Red Hot Chili Peppers, Charlie, 
Dave, Psycho, 
Dave, Streatham, 
Dave, Screwface Capital, 
Dave, Disaster, 
Green Day, Boulevard of Broken Dreams, 
Dave, Funky Friday, 
Red Hot Chili Peppers, Minor Thing, 
Red Hot Chili Peppers, On Mercury, 
Red Hot Chili Peppers, Turn It Again, 
Red Hot Chili Peppers, If, 
Red Hot Chili Peppers, Savior, 
Red Hot Chili Peppers, Easily, 
Red Hot Chili Peppers, Dosed, 
Dave, Environment, 
Red Hot Chili Peppers, Dani California, 
Red Hot Chili Peppers, Torture Me, 
Red Hot Chili Peppers, Death of a Martian, 
Red Hot Chili Peppers, Especially in Michigan, 
Coldplay, Viva La Vida, 
KSI, Tides, 
Red Hot Chili Peppers, Can't Stop, 
J Hus, Triumph, 
J Hus, Bouff Daddy, 
J Hus, Spirit, 
AJ Tracey, Dinner Guest, 
Dave, No Words, 
Arctic Monkeys, R U Mine?, 
Red Hot Chili Peppers, 21st Century, 
Headie One, Both, 
Red Hot Chili Peppers, Slow Cheetah, 
Red Hot Chili Peppers, The Zephyr Song, 
Red Hot Chili Peppers, Stadium Arcadium, 
Red Hot Chili Peppers, The Adventures of Rain Dance Maggie, 
Red Hot Chili Peppers, Hump de Bump, 
TheVerveVEVO, Sonnet, 
Soundgarden, Black Hole Sun, 
Red Hot Chili Peppers, Emit Remmus, 
Nirvana, Heart-Shaped Box, 
Arctic Monkeys, Knee Socks, 
Muse, Starlight, 
Audioslave, I Am the Highway, 
Audioslave, Like a Stone, 
Arctic Monkeys, Crying Lightning, 
Arctic Monkeys, Snap Out Of It, 
Arctic Monkeys, Why'd You Only Call Me When You're High?, 
Abra Cadabra, Usual, 
Abra Cadabra, Begging Flexxing Stressing, 
The Strokes, Reptilia, 
Radiohead, Karma Police, 
Coldplay, Yellow, 
Coldplay, Hymn for the Weekend, 
Red Hot Chili Peppers, Feasting on the Flowers, 
Fredo, Back to Basics, 
Imagine Dragons, Roots, 
Coldplay, Adventure of a Lifetime, 
thestrokesVEVO, You Only Live Once (Official HD Video), 
The Strokes, Taken for a Fool, 
Red Hot Chili Peppers, Dark Necessities, 
Fredo, Money Talks, 
Fredo, Burner on Deck, 
The Strokes, The Adults Are Talking, 
The Strokes, Automatic Stop, 
The Strokes, Under Cover of Darkness, 
The Strokes, Threat of Joy, 
The Strokes, Welcome To Japan, 
The Strokes, Meet Me in the Bathroom, 
The Strokes, Between Love & Hate, 
The Strokes, You Talk Way Too Much, 
The Strokes, 12:51, 
The Strokes, Machu Picchu, 
The Strokes, Ize of the World, 
The Strokes, Drag Queen, 
The Strokes, The End Has No End, 
The Strokes, On the Other Side, 
The Strokes, Life Is Simple in the Moonlight, 
The Strokes, Razorblade, 
Digga D, Bringing It Back, 
Abra Cadabra, U Know, 
The Strokes, Killing Lies, 
The Strokes, Evening Sun, 
Julian Casablancas, Left & Right in the Dark, 
The Strokes, Slow Animals, 
The Strokes, Under Control, 
Red Hot Chili Peppers, Detroit, 
Red Hot Chili Peppers, Save the Population, 
Abra Cadabra, Abra Interlude, 
Abra Cadabra, Mixed Emotions, 
Not3s, Aladdin, 
The Strokes, Why Are Sundays So Depressing, 
The Strokes, Ode To The Mets, 
The Strokes, Not The Same Anymore, 
Red Hot Chili Peppers, Under the Bridge, 
Red Hot Chili Peppers, Soul to Squeeze, 
John Mayer, I Don't Trust Myself (With Loving You), 
Red Hot Chili Peppers, This Is the Place, 
The Neighbourhood, Sweater Weather, 
Red Hot Chili Peppers, Midnight, 
Red Hot Chili Peppers, Bicycle Song (2006 Remaster), 
Red Hot Chili Peppers, Police Station, 
Red Hot Chili Peppers, Ethiopia, 
Red Hot Chili Peppers, Look Around, 
Sheff G, No Suburban Pt. 2, 
Red Hot Chili Peppers, Don't Forget Me, 
Nico & Vinz, Am I Wrong, 
thestrokesVEVO, Last Nite (Official HD Video), 
The Chainsmokers, Something Just Like This, 
Kanye West, Gorgeous, 
Red Hot Chili Peppers, Strip My Mind, 
Red Hot Chili Peppers, Throw Away Your Television, 
Weezer, Say It Ain't So, 
Harry Styles, Watermelon Sugar, 
The Strokes, Metabolism, 
Maroon5VEVO, Payphone, 
Gym Class Heroes, Stereo Hearts, 
The Strokes, Tap Out, 
The Strokes, Eternal Summer, 
thestrokesVEVO, At The Door, 
Red Hot Chili Peppers, Funny Face, 
John Frusciante, Carvel, 
The Strokes, Brooklyn Bridge To Chorus, 
The Strokes, Selfless, 
Red Hot Chili Peppers, Animal Bar, 
Dave, Titanium, 
Dave, Mercury, 
AJ Tracey, Little More Love, 
AJ Tracey, Anxious, 
AJ Tracey, Eurostep, 
AJ Tracey, Top Dog, 
AJ Tracey, Summertime Shootout, 
Headie One, Princess Cuts, 
Arctic Monkeys, When The Sun Goes Down, 
Blue Öyster Cult, (Don't Fear) The Reaper, 
JAY Z, Empire State Of Mind, 
Maroon 5, Maps, 
Calvin Harris, Summer, 
Maroon 5, One More Night, 
Maroon 5, This Love, 
Bruno Mars, Treasure, 
Maroon 5, Misery, 
Young Money Entertainment, Drake - Passionfruit, 
2Pac, Do for Love, 
thestrokesVEVO, Someday (Official HD Video), 
Maroon 5, Animals, 
Maroon 5, Feelings, 
Daryl Hall & John Oates, Out of Touch, 
Rihanna, Umbrella, 
Britney Spears, Toxic, 
Eminem, The Monster, 
Red Hot Chili Peppers, I Could Have Lied, 
Maroon 5, Beautiful Mistakes, 
The Last Shadow Puppets, Calm Like You, 
Katy Perry, Teenage Dream, 
John Frusciante, Omission, 
John Frusciante, This Cold, 
The Voidz, Alien Crime Lord, 
The Voidz, Leave It In My Dreams, 
Red Hot Chili Peppers, Factory of Faith, 
John Frusciante, Wednesday's Song, 
The Strokes, 50/50, 
John Frusciante, Away & Anywhere, 
Nirvana, The Man Who Sold The World (Live), 
Dave, Clash, 
Red Hot Chili Peppers, Havana Affair, 
Julian Casablancas, 11th Dimension, 
The Last Shadow Puppets, In The Heat Of The Morning, 
John Frusciante, The Will To Death, 
KSI, Gang Gang, 
The Voidz, Pink Ocean, 
The Voidz, Permanent High School, 
Dave, Verdansk (Survival Mode), 
Dave, System, 
Dave, Lazarus, 
KSI, Lose, 
Red Hot Chili Peppers, Purple Stain, 
Red Hot Chili Peppers, I'll Be Your Domino, 
The Strokes, Bad Decisions, 
Red Hot Chili Peppers, My Friends, 
Kings Of Leon, Use Somebody, 
Red Hot Chili Peppers, Make You Feel Better, 
Red Hot Chili Peppers, Warlocks, 
Red Hot Chili Peppers, Storm in a Teacup, 
Red Hot Chili Peppers, I Could Die for You, 
Rihanna, Diamonds, 
Glass Animals, Heat Waves, 
Red Hot Chili Peppers, Long Progression, 
Red Hot Chili Peppers, How It Ends, 
Glass Animals, The Other Side Of Paradise, 
The Strokes, Is This It, 
The Strokes, Hard To Explain, 
The Strokes, I Can't Win, 
Red Hot Chili Peppers, Strange Man, 
John Frusciante, Song To Sing When I'm Lonely, 
Glass Animals, Your Love (Déjà Vu), 
The Verve, Bitter Sweet Symphony, 
Arctic Monkeys, Mardy Bum, 
John Frusciante, Unreachable, 
The Strokes, Games, 
The Strokes, Chances, 
The Strokes, Call It Fate Call It Karma, 
Headie One, 18HUNNA, 
Drake, Knife Talk, 
The Strokes, Electricityscape, 
The Strokes, Vision of Division, 
The Strokes, Red Light, 
The Strokes, Soma, 
The Strokes, Gratisfaction, 
The Strokes, Take It Or Leave It, 
Mitski, First Love/Late Spring, 
The Strokes, One Way Trigger, 
Lady Gaga, Bad Romance, 
Lady Gaga, Paparazzi, 
David Guetta, Titanium, 
The Strokes, Juicebox, 
Mitski, A Pearl, 
Red Hot Chili Peppers, This Is the Kitt, 
Red Hot Chili Peppers, Catch My Death, 
Red Hot Chili Peppers, Magpies on Fire, 
The Strokes, Happy Ending, 
The Strokes, Call Me Back, 
Albert Hammond Jr., Tea for Two, 
Adele, Can I Get It, 
Adele, Oh My God, 
Radiohead, Exit Music (For A Film), 
Lana Del Rey, Summertime Sadness, 
The Strokes, Trying Your Luck, 
Radiohead, Jigsaw Falling Into Place, 
The Strokes, The Modern Age, 
Harry Styles, Sign of the Times, 
The Strokes, Alone Together, 
noah2413, Radiohead - Weird Fishes / Arpeggi, 
Gold Coast Music, Lewis Capaldi - Forever (Lyrics), 
Dean Lewis, Be Alright, 
The Band CAMINO, What I Want, 
The Strokes, Barely Legal, 
Twenty One Pilots, Ride, 
Coldplay, Paradise, 
The Strokes, The Way It Is, 
